order_id,product,category,quantity,unit_price,order_date,region
ORD1000,Cotton T-Shirt,Fashion,5,2871.68,2025-01-11,North
ORD1001,Power Bank,Electronics,2,1549.04,2024-10-13,East
ORD1002,Skipping Rope,Sports,6,5074.93,2024-08-21,West
ORD1003,Running Shoes,Fashion,4,2563.6,2025-03-12,Central
ORD1004,Denim Jacket,Fashion,1,648.09,2024-06-25,South
ORD1005,Wall Clock,Home,5,319.27,2024-07-31,South
ORD1006,Football,Sports,1,5222.8,2024-12-10,South
ORD1007,Dumbbell Set,Sports,2,2231.74,2025-03-09,Central
ORD1008,Smartwatch,Electronics,5,4684.1,2024-07-09,North
ORD1009,Yoga Mat,Sports,1,2290.96,2024-09-20,South
ORD1010,Lip Balm,Beauty,2,2057.55,2025-01-21,North
ORD1011,Storage Box,Home,4,1119.35,2025-01-22,North
ORD1012,Leather Wallet,Fashion,3,3707.69,2024-12-06,West
ORD1013,Cricket Bat,Sports,3,5770.18,2024-11-22,Central
ORD1014,Sunglasses,Fashion,5,2319.49,2024-12-06,North
ORD1015,Cotton T-Shirt,Fashion,6,1553.94,2024-12-16,South
ORD1016,Yoga Mat,Sports,4,821.19,2025-02-19,East
ORD1017,Running Shoes,Fashion,5,1461.9,2024-11-24,South
ORD1018,Denim Jacket,Fashion,6,5141.46,2024-12-05,South
ORD1019,Power Bank,Electronics,6,4675.79,2025-02-12,South
ORD1020,Power Bank,Electronics,6,1983.01,2024-07-05,Central
ORD1021,Table Lamp,Home,3,5018.55,2024-12-09,West
ORD1022,Cotton T-Shirt,Fashion,3,1021.29,2024-09-13,North
ORD1023,Storage Box,Home,6,2406.45,2024-10-13,West
ORD1024,Table Lamp,Home,5,4424.31,2025-03-08,South
ORD1025,Running Shoes,Fashion,2,4961.83,2024-12-03,South
ORD1026,Table Lamp,Home,2,4466.29,2024-10-24,East
ORD1027,Bluetooth Speaker,Electronics,5,1321.61,2025-01-10,South
ORD1028,Running Shoes,Fashion,5,1615.51,2024-08-30,North
ORD1029,Yoga Mat,Sports,3,4352.82,2024-08-24,East
ORD1030,Hair Dryer,Beauty,3,3560.52,2024-07-02,North
ORD1031,Leather Wallet,Fashion,5,5491.62,2024-07-16,South
ORD1032,Cotton Bedsheet,Home,3,1919.55,2024-06-05,North
ORD1033,Skipping Rope,Sports,1,5735.65,2024-07-29,South
ORD1034,Denim Jacket,Fashion,3,4836.11,2024-12-05,West
ORD1035,Bluetooth Speaker,Electronics,2,3664.84,2025-01-08,South
ORD1036,Shampoo 200ml,Beauty,5,2583.66,2024-09-04,West
ORD1037,Non-stick Pan,Home,2,828.45,2024-07-30,South
ORD1038,Bluetooth Speaker,Electronics,5,654.93,2024-09-13,Central
ORD1039,Bluetooth Speaker,Electronics,1,689.76,2024-11-04,Central
ORD1040,Bluetooth Speaker,Electronics,5,3225.01,2024-06-26,Central
ORD1041,Skipping Rope,Sports,6,560.88,2024-12-12,West
ORD1042,Cotton T-Shirt,Fashion,2,1251.3,2025-03-21,North
ORD1043,Skipping Rope,Sports,1,3151.85,2024-07-06,South
ORD1044,Non-stick Pan,Home,4,5790.72,2024-09-14,North
ORD1045,Sunscreen SPF50,Beauty,2,4598.2,2024-12-22,West
ORD1046,Smartwatch,Electronics,6,5297.98,2024-07-06,West
ORD1047,Wireless Earbuds,Electronics,6,1423.28,2025-03-08,Central
ORD1048,USB-C Cable,Electronics,1,5343.96,2025-02-01,East
ORD1049,Smartwatch,Electronics,1,805.28,2024-09-14,South
ORD1050,Bluetooth Speaker,Electronics,3,5723.21,2024-10-13,Central
ORD1051,Leather Wallet,Fashion,1,5755.18,2024-07-10,East
ORD1052,Football,Sports,4,2167.91,2025-02-09,West
ORD1053,Denim Jacket,Fashion,3,4288.79,2025-01-22,South
ORD1054,Table Lamp,Home,4,4572.03,2024-09-15,North
ORD1055,Face Serum,Beauty,2,4023.5,2025-02-13,North
ORD1056,Wireless Earbuds,Electronics,3,4657.68,2025-01-12,North
ORD1057,Wall Clock,Home,5,2367.83,2024-09-14,North
ORD1058,Shampoo 200ml,Beauty,4,282.85,2024-11-24,Central
ORD1059,Cricket Bat,Sports,4,5496.88,2024-12-21,West
ORD1060,Dumbbell Set,Sports,6,951.01,2024-10-05,South
ORD1061,Face Serum,Beauty,1,3034.94,2024-11-10,Central
ORD1062,Wireless Earbuds,Electronics,5,3048.54,2024-07-04,East
ORD1063,USB-C Cable,Electronics,4,1307.72,2024-09-02,South
ORD1064,Denim Jacket,Fashion,1,4824.63,2024-12-25,East
ORD1065,Football,Sports,3,1819.09,2025-03-05,Central
ORD1066,Dumbbell Set,Sports,5,5270.34,2024-08-27,South
ORD1067,Lip Balm,Beauty,5,4433.42,2025-03-23,West
ORD1068,Cotton Bedsheet,Home,5,5127.87,2024-11-14,Central
ORD1069,Non-stick Pan,Home,5,5681.47,2024-10-19,East
ORD1070,Running Shoes,Fashion,2,3778.21,2024-07-29,Central
ORD1071,Face Serum,Beauty,2,5528.13,2025-02-21,South
ORD1072,Storage Box,Home,4,3324.57,2024-09-14,Central
ORD1073,Sunscreen SPF50,Beauty,4,5286.5,2024-09-07,South
ORD1074,Wall Clock,Home,1,340.37,2024-09-29,West
ORD1075,Leather Wallet,Fashion,3,3185.46,2024-12-29,West
