date,plan,mrr,customers,churn_rate
2024-01-01,Starter,900.0,7,0.021
2024-01-01,Growth,4200.0,12,0.077
2024-01-01,Scale,11500.0,32,0.056
2024-01-01,Enterprise,38000.0,191,0.074
2024-01-31,Starter,928.59,3,0.026
2024-01-31,Growth,4320.63,26,0.02
2024-01-31,Scale,11670.01,40,0.012
2024-01-31,Enterprise,38504.91,133,0.01
2024-03-01,Starter,944.67,8,0.063
2024-03-01,Growth,4335.51,30,0.02
2024-03-01,Scale,12504.03,57,0.015
2024-03-01,Enterprise,40332.03,430,0.053
2024-03-31,Starter,1002.57,4,0.067
2024-03-31,Growth,4706.15,29,0.029
2024-03-31,Scale,12258.08,33,0.014
2024-03-31,Enterprise,42834.66,273,0.05
2024-04-30,Starter,1012.78,15,0.049
2024-04-30,Growth,4498.03,88,0.06
2024-04-30,Scale,12593.29,88,0.027
2024-04-30,Enterprise,43102.67,405,0.063
2024-05-30,Starter,1101.38,3,0.021
2024-05-30,Growth,4504.29,22,0.043
2024-05-30,Scale,12485.05,185,0.072
2024-05-30,Enterprise,43266.44,112,0.077
2024-06-29,Starter,1029.94,6,0.043
2024-06-29,Growth,5268.3,26,0.025
2024-06-29,Scale,13063.04,103,0.066
2024-06-29,Enterprise,42953.76,281,0.054
2024-07-29,Starter,1138.55,12,0.03
2024-07-29,Growth,5243.04,97,0.043
2024-07-29,Scale,14299.96,47,0.019
2024-07-29,Enterprise,45278.31,970,0.055
2024-08-28,Starter,1081.45,3,0.036
2024-08-28,Growth,4732.4,23,0.02
2024-08-28,Scale,14252.74,348,0.075
2024-08-28,Enterprise,49875.52,1109,0.013
2024-09-27,Starter,1181.32,10,0.046
2024-09-27,Growth,5877.33,21,0.066
2024-09-27,Scale,15954.05,44,0.066
2024-09-27,Enterprise,52742.0,174,0.03
2024-10-27,Starter,1131.06,7,0.044
2024-10-27,Growth,5481.71,70,0.075
2024-10-27,Scale,16598.28,56,0.05
2024-10-27,Enterprise,48242.59,195,0.048
2024-11-26,Starter,1095.26,2,0.065
2024-11-26,Growth,5078.68,13,0.045
2024-11-26,Scale,12917.22,42,0.072
2024-11-26,Enterprise,54086.88,1198,0.03
2024-12-26,Starter,1273.43,4,0.02
2024-12-26,Growth,5439.49,15,0.031
2024-12-26,Scale,13496.11,43,0.078
2024-12-26,Enterprise,46665.87,263,0.019
2025-01-25,Starter,1081.27,4,0.059
2025-01-25,Growth,6428.67,19,0.015
2025-01-25,Scale,17531.7,226,0.053
2025-01-25,Enterprise,52663.63,324,0.028
2025-02-24,Starter,1027.8,15,0.058
2025-02-24,Growth,5687.22,19,0.074
2025-02-24,Scale,14030.47,38,0.067
2025-02-24,Enterprise,61421.79,209,0.031
2025-03-26,Starter,1270.17,12,0.072
2025-03-26,Growth,6234.53,38,0.06
2025-03-26,Scale,17732.13,61,0.014
2025-03-26,Enterprise,53942.17,244,0.02
2025-04-25,Starter,1530.46,13,0.047
2025-04-25,Growth,6156.28,28,0.033
2025-04-25,Scale,16860.46,48,0.015
2025-04-25,Enterprise,55191.49,309,0.015
2025-05-25,Starter,1444.6,4,0.028
2025-05-25,Growth,6519.44,35,0.043
2025-05-25,Scale,20157.52,78,0.078
2025-05-25,Enterprise,66358.64,366,0.063
2025-06-24,Starter,1246.03,6,0.041
2025-06-24,Growth,5668.67,17,0.037
2025-06-24,Scale,19971.64,84,0.078
2025-06-24,Enterprise,65340.21,187,0.041
2025-07-24,Starter,1191.5,3,0.014
2025-07-24,Growth,6514.61,26,0.02
2025-07-24,Scale,14324.9,77,0.011
2025-07-24,Enterprise,55800.41,331,0.032
2025-08-23,Starter,1363.26,6,0.077
2025-08-23,Growth,6011.8,21,0.047
2025-08-23,Scale,17008.71,107,0.063
2025-08-23,Enterprise,69233.24,415,0.079
2025-09-22,Starter,1202.88,5,0.029
2025-09-22,Growth,5103.14,28,0.041
2025-09-22,Scale,18318.92,55,0.067
2025-09-22,Enterprise,69883.5,482,0.014
2025-10-22,Starter,1147.4,6,0.028
2025-10-22,Growth,5468.46,53,0.028
2025-10-22,Scale,16708.96,258,0.046
2025-10-22,Enterprise,64256.07,170,0.01
2025-11-21,Starter,1687.81,4,0.024
2025-11-21,Growth,6540.5,28,0.04
2025-11-21,Scale,18890.01,152,0.032
2025-11-21,Enterprise,61115.83,1109,0.014
2025-12-21,Starter,1131.03,8,0.024
2025-12-21,Growth,8319.33,56,0.076
2025-12-21,Scale,15746.51,135,0.055
2025-12-21,Enterprise,49059.56,871,0.059
2026-01-20,Starter,1700.92,7,0.062
2026-01-20,Growth,6070.77,15,0.064
2026-01-20,Scale,17172.14,264,0.029
2026-01-20,Enterprise,66731.35,266,0.04
2026-02-19,Starter,1188.23,4,0.052
2026-02-19,Growth,8609.52,23,0.073
2026-02-19,Scale,23674.5,267,0.029
2026-02-19,Enterprise,82115.33,342,0.018
2026-03-21,Starter,1451.37,5,0.047
2026-03-21,Growth,6520.03,17,0.042
2026-03-21,Scale,18451.42,58,0.063
2026-03-21,Enterprise,65932.85,166,0.078
2026-04-20,Starter,1164.49,7,0.055
2026-04-20,Growth,9299.95,37,0.057
2026-04-20,Scale,24730.82,98,0.054
2026-04-20,Enterprise,69066.39,762,0.079
2026-05-20,Starter,1162.0,3,0.028
2026-05-20,Growth,6045.25,17,0.07
2026-05-20,Scale,24189.7,62,0.035
2026-05-20,Enterprise,69479.31,177,0.02
2026-06-19,Starter,1661.95,6,0.071
2026-06-19,Growth,7526.72,21,0.021
2026-06-19,Scale,17695.34,72,0.041
2026-06-19,Enterprise,67747.47,474,0.041
2026-07-19,Starter,1533.05,8,0.076
2026-07-19,Growth,8492.79,132,0.073
2026-07-19,Scale,24271.08,61,0.058
2026-07-19,Enterprise,79532.99,706,0.045
2026-08-18,Starter,1948.65,22,0.052
2026-08-18,Growth,9244.67,40,0.038
2026-08-18,Scale,21804.22,57,0.017
2026-08-18,Enterprise,68047.31,531,0.064
2026-09-17,Starter,1371.96,3,0.012
2026-09-17,Growth,8704.34,29,0.036
2026-09-17,Scale,23566.15,167,0.042
2026-09-17,Enterprise,87348.07,601,0.046
2026-10-17,Starter,1311.66,3,0.023
2026-10-17,Growth,5640.43,30,0.069
2026-10-17,Scale,18333.61,47,0.074
2026-10-17,Enterprise,54829.35,748,0.067
2026-11-16,Starter,2232.96,6,0.016
2026-11-16,Growth,8452.84,90,0.065
2026-11-16,Scale,28011.51,83,0.068
2026-11-16,Enterprise,77513.54,409,0.048
2026-12-16,Starter,2172.0,5,0.075
2026-12-16,Growth,6958.62,33,0.02
2026-12-16,Scale,25113.03,303,0.054
2026-12-16,Enterprise,96966.81,1950,0.021
2027-01-15,Starter,1432.61,6,0.068
2027-01-15,Growth,6061.92,20,0.066
2027-01-15,Scale,30327.22,197,0.029
2027-01-15,Enterprise,91401.09,388,0.055
2027-02-14,Starter,1308.59,3,0.03
2027-02-14,Growth,8399.16,41,0.033
2027-02-14,Scale,19838.9,74,0.041
2027-02-14,Enterprise,77528.03,506,0.052
2027-03-16,Starter,1346.08,4,0.071
2027-03-16,Growth,8938.33,31,0.069
2027-03-16,Scale,27741.6,134,0.015
2027-03-16,Enterprise,83069.83,534,0.052
2027-04-15,Starter,1962.86,13,0.046
2027-04-15,Growth,9458.12,31,0.037
2027-04-15,Scale,22620.29,95,0.045
2027-04-15,Enterprise,82486.28,413,0.024
2027-05-15,Starter,1298.52,13,0.011
2027-05-15,Growth,8808.85,128,0.027
2027-05-15,Scale,22801.94,288,0.018
2027-05-15,Enterprise,88020.96,313,0.012
2027-06-14,Starter,2402.19,7,0.048
2027-06-14,Growth,10948.15,144,0.075
